,entryId,content,date,entryUrl,type,favoriteCount,issueTitle,issueUrl,authorId,authorName,authorUrl,authorAvatar
665,81118288.0,siyasiler ve brokratlar isin icine girmedigi surece cok guzel isler yapariz. umarim bu ise bulasmazlar.,2018-09-09 15:51:00,https:/www.eksisozluk.com/entry/81118288,entry,136.0,aselsan mr,https:/www.eksisozluk.com/aselsan-mr--5780671,559729.0,ziplayanpireninsolonbacagi,https:/www.eksisozluk.com/biri/ziplayanpireninsolonbacagi,https://ekstat.com/img/default-profile-picture-light.svg
666,81118395.0,"dışa bağımlılığın azaltılması ve ulusal sanayiinin ivmelenmesi yolunda son derece kritik bir adımdır. çok umut verici umarım başarılır zaten bu sektöre de girilirse kısa sürede etkin olunacaktır eminim. aselsan ve diğer tüm savunma sanayii şirketleri gururumuz ve göz bebeğimiz oldu, o kadar ki tüm sanayiimiz bir yana savunma sanayii şirketleri bir yana verim ve etkinlik olarak.",09.09.2018 15:55 ~ 15:57,https:/www.eksisozluk.com/entry/81118395,entry,20.0,aselsan mr,https:/www.eksisozluk.com/aselsan-mr--5780671,1049653.0,basso continuo,https:/www.eksisozluk.com/biri/basso-continuo,https://img.ekstat.com/profiles/basso-continuo-636672910782737356.jpg
667,81118508.0,böyle haberler çıkmaya başladığına göre,2018-09-09 16:00:00,https:/www.eksisozluk.com/entry/81118508,entry,148.0,aselsan mr,https:/www.eksisozluk.com/aselsan-mr--5780671,1564722.0,lokofira,https:/www.eksisozluk.com/biri/lokofira,https://img.ekstat.com/profiles/lokofira-636914016531750156.jpg
668,,(bkz: seçim loading)...,,,,,,,,,,
670,,tanım: kağıt üretemeyen ülkenin mr cihazı üretecek olması.,,,,,,,,,,
671,81118609.0,aselsan'ın ürettiği mr cihazına güvenmeyen ve belki de imkanı olsa kullanmayacak ama eğonomi çoh kötü diyen insanların toplandığı başlık.,2018-09-09 16:05:00,https:/www.eksisozluk.com/entry/81118609,entry,0.0,aselsan mr,https:/www.eksisozluk.com/aselsan-mr--5780671,1843690.0,yagmurabasan,https:/www.eksisozluk.com/biri/yagmurabasan,https://ekstat.com/img/default-profile-picture-light.svg
672,81118734.0,(bkz: yerli ve milli emar cihazı),2018-09-09 16:10:00,https:/www.eksisozluk.com/entry/81118734,entry,4.0,aselsan mr,https:/www.eksisozluk.com/aselsan-mr--5780671,1913255.0,i am not noob,https:/www.eksisozluk.com/biri/i-am-not-noob,https://ekstat.com/img/default-profile-picture-light.svg
673,81118920.0,"""yha millet wormhole yapıyo bizimkler mr yapmaya yni bşldı :s"" diyen sözelciler damlar birazdan.",2018-09-09 16:18:00,https:/www.eksisozluk.com/entry/81118920,entry,10.0,aselsan mr,https:/www.eksisozluk.com/aselsan-mr--5780671,1680274.0,kamalbey,https:/www.eksisozluk.com/biri/kamalbey,https://ekstat.com/img/default-profile-picture-light.svg
674,81118936.0,"eziklerin kötülemeye kalktığı, ülkesine ve milletine iyi şeyleri yakıştırmamayı ata sporu haline getirenlerin ağlaştığı başlık.",2018-09-09 16:19:00,https:/www.eksisozluk.com/entry/81118936,entry,40.0,aselsan mr,https:/www.eksisozluk.com/aselsan-mr--5780671,1595893.0,nikimi mikimi sorma,https:/www.eksisozluk.com/biri/nikimi-mikimi-sorma,https://ekstat.com/img/default-profile-picture-light.svg
676,,ulan bir kere de takdir edin be.,,,,,,,,,,
677,10528350.0,murat ongun un kaleme aldigi uc intihar vakasi...,30.01.2007 04:48 ~ 22.11.2020 01:58,https:/www.eksisozluk.com/entry/10528350,entry,19.0,aselsan intiharları,https:/www.eksisozluk.com/aselsan-intiharlari--1649898,113578.0,mosyodominik,https:/www.eksisozluk.com/biri/mosyodominik,https://ekstat.com/img/default-profile-picture-light.svg
678,,"son 6 ayda aselsan'da calisan uc muhendis degisik yontemlerle intihar etmis. ilginc bir konu, adeta bir john grisham romani diyesi geliyor insanin.",,,,,,,,,,
680,,yazi icin:,,,,,,,,,,
681,,http://www.haberturk.com/yazioku.asp?id=3673,,,,,,,,,,
683,,"zaman içinde link ölmüş, yazı burdan da okunabilir:",,,,,,,,,,
684,,http://www.haberturk.com/…harlara-psikolojik-destek,,,,,,,,,,
685,10553030.0,intihar ettigi duyurulan ikinci kisinin* aselsan ile ilgisinin olmadigi intiharlardir. kendisi mikes'te calismaktaydi.,2007-02-06 14:48:00,https:/www.eksisozluk.com/entry/10553030,entry,1.0,aselsan intiharları,https:/www.eksisozluk.com/aselsan-intiharlari--1649898,82752.0,summer son,https:/www.eksisozluk.com/biri/summer-son,https://img.ekstat.com/profiles/summer-son-637769142944248621.jpg
686,10627336.0,olayla ilgili açıklamalar için:,02.03.2007 10:38 ~ 17.05.2007 22:25,https:/www.eksisozluk.com/entry/10627336,entry,1.0,aselsan intiharları,https:/www.eksisozluk.com/aselsan-intiharlari--1649898,58413.0,chocuk,https:/www.eksisozluk.com/biri/chocuk,https://ekstat.com/img/default-profile-picture-light.svg
687,,(bkz: #10627356),,,,,,,,,,
689,,bir de bu var:,,,,,,,,,,
690,,(bkz: #10864988),,,,,,,,,,
691,10657101.0,aselsan'da çalışan 3 mühendisin intihar(!)ıyla ilgili bomba iddia,2007-03-12 13:03:00,https:/www.eksisozluk.com/entry/10657101,entry,2.0,aselsan intiharları,https:/www.eksisozluk.com/aselsan-intiharlari--1649898,83620.0,irritable,https:/www.eksisozluk.com/biri/irritable,https://ekstat.com/img/default-profile-picture-light.svg
693,,http://www.aktifhaber.com/read_news.php?nid=105622,,,,,,,,,,
695,,okudukça insanın kanı donuyor,,,,,,,,,,
696,10668447.0,birincisi intihar gayet bilincli bir sekilde bir gun onceden planlanarak ve uygulamaya baslanarak ve gerçekleşmiş bir intihardır...ikinci intihar ise aselsan calısanı degildir...ucuncusu hakkında bir bilgim yok olursa yazarım...,2007-03-16 00:16:00,https:/www.eksisozluk.com/entry/10668447,entry,1.0,aselsan intiharları,https:/www.eksisozluk.com/aselsan-intiharlari--1649898,103533.0,noki,https:/www.eksisozluk.com/biri/noki,https://ekstat.com/img/default-profile-picture-light.svg
698,,gonul isterdi aselsanda muhteşem calısmalar yapılsın ve bu calışmaları ortadan kaldırmanın tek yolu muhendislerin oldurulmesi olsun..ama zeten genelde malzemeyi uretmenin onundeki engel teknoloji degil ekonomi olmaktadır. bu durumda muhendis oldurulmesi cok da gerekli durmamaktadır...,,,,,,,,,,
700,,not: trajikomik bir sekilde bu intiharlar geride kalan aselsan calısanlarınlarının evlerinde krallar gibi muamele gormesine yol acmıştır. (ya da en azından bir kısmının),,,,,,,,,,
701,10682207.0,http://www.hurriyet.com.tr/…gid=112&amp;srid=3602&amp;oid=1,2007-03-20 18:21:00,https:/www.eksisozluk.com/entry/10682207,entry,0.0,aselsan intiharları,https:/www.eksisozluk.com/aselsan-intiharlari--1649898,19673.0,avasas,https:/www.eksisozluk.com/biri/avasas,https://img.ekstat.com/profiles/avasas-636350181433471349.jpg
